Year,Chamber,Quadrat,In_Out,CO2,Nitrogen,Treatment,SP_Count,SP_Total_Mass,DI_Count,DI_Total_Mass,Litter_Total_Mass
2006,1,1,1,1,1,4,-99,0,-99,0,1.2855
2006,1,2,1,1,1,4,-99,0.2373,-99,0,1.7168
2006,1,3,1,1,1,4,-99,0,-99,0,5.1375
2006,1,4,1,1,1,4,-99,0,-99,0,4.6322
2006,1,5,1,1,1,4,-99,0.4909,-99,0,1.6999
2006,1,6,1,1,1,4,-99,0.0228,-99,0,1.7816
2006,1,7,0,1,1,4,-99,0.1822,-99,0,2.9819
2006,1,8,0,1,1,4,-99,0.3394,-99,0,5.7776
2006,2,1,1,0,0,1,-99,0.1771,-99,0,2.2326
2006,2,2,1,0,0,1,-99,0.3601,-99,0,3.1065
2006,2,3,1,0,0,1,-99,0.0362,-99,0,2.4313
2006,2,4,1,0,0,1,-99,0.0852,-99,0,2.1393
2006,2,5,1,0,0,1,-99,0,-99,0,2.0502
2006,2,6,1,0,0,1,-99,0,-99,0,4.0649
2006,2,7,0,0,0,1,-99,0,-99,0,1.2103
2006,2,8,0,0,0,1,-99,0,-99,0.1441,2.134
2006,3,1,1,1,0,3,-99,0.6029,-99,0,3.7148
2006,3,2,1,1,0,3,-99,0,-99,0,2.0557
2006,3,3,1,1,0,3,-99,0.1436,-99,0,5.1223
2006,3,4,1,1,0,3,-99,0,-99,0,2.1964
2006,3,5,1,1,0,3,-99,0.304,-99,0,1.6592
2006,3,6,1,1,0,3,-99,0,-99,0,2.4538
2006,3,7,0,1,0,3,-99,0.3117,-99,0,3.8074
2006,3,8,0,1,0,3,-99,0,-99,0,3.5939
2006,4,1,1,0,1,2,-99,0,-99,0,0.9666
2006,4,2,1,0,1,2,-99,0,-99,0,2.2286
2006,4,3,1,0,1,2,-99,0.2849,-99,0,2.611
2006,4,4,1,0,1,2,-99,0,-99,0.4107,0.8363
2006,4,5,1,0,1,2,-99,1.9539,-99,0,1.6835
2006,4,6,1,0,1,2,-99,0.0732,-99,0,3.3558
2006,4,7,0,0,1,2,-99,0,-99,0,3.4729
2006,4,8,0,0,1,2,-99,0,-99,0,2.2933
2006,5,1,1,1,1,4,-99,0,-99,0,2.1178
2006,5,2,1,1,1,4,-99,0,-99,0,6.1702
2006,5,3,1,1,1,4,-99,0,-99,0,3.0323
2006,5,4,1,1,1,4,-99,0.2468,-99,0,1.6728
2006,5,5,1,1,1,4,-99,0,-99,0,2.4659
2006,5,6,1,1,1,4,-99,0,-99,0,1.5417
2006,5,7,0,1,1,4,-99,0.2224,-99,0,3.794
2006,5,8,0,1,1,4,-99,0.3992,-99,0,1.0227
2006,6,1,1,0,0,1,-99,0,-99,0,2.3416
2006,6,2,1,0,0,1,-99,0,-99,0,2.7086
2006,6,3,1,0,0,1,-99,0,-99,0,1.9137
2006,6,4,1,0,0,1,-99,0,-99,0,2.5848
2006,6,5,1,0,0,1,-99,0,-99,0,2.3452
2006,6,6,1,0,0,1,-99,0,-99,0,4.2734
2006,6,7,0,0,0,1,-99,0,-99,0,4.4825
2006,6,8,0,0,0,1,-99,0.1148,-99,0,2.37
2006,7,1,1,0,0,1,-99,0.2268,-99,0,1.4096
2006,7,2,1,0,0,1,-99,0.2202,-99,0,1.3141
2006,7,3,1,0,0,1,-99,0,-99,0,2.0864
2006,7,4,1,0,0,1,-99,0.3379,-99,0,1.8586
2006,7,5,1,0,0,1,-99,0,-99,0,2.8224
2006,7,6,1,0,0,1,-99,0,-99,0,1.554
2006,7,7,0,0,0,1,-99,0.2274,-99,0,0.7572
2006,7,8,0,0,0,1,-99,0,-99,0,2.4409
2006,8,1,1,1,0,3,-99,0,-99,0,0.8252
2006,8,2,1,1,0,3,-99,0.0576,-99,0,1.2867
2006,8,3,1,1,0,3,-99,0,-99,0,1.3536
2006,8,4,1,1,0,3,-99,0,-99,0,0.8753
2006,8,5,1,1,0,3,-99,0,-99,0,1.9879
2006,8,6,1,1,0,3,-99,0.0818,-99,0,1.8997
2006,8,7,0,1,0,3,-99,0,-99,0,1.5296
2006,8,8,0,1,0,3,-99,0.0677,-99,0.3001,3.7131
2006,9,1,1,1,0,3,-99,0,-99,0.0574,1.8689
2006,9,2,1,1,0,3,-99,0,-99,0,1.646
2006,9,3,1,1,0,3,-99,0,-99,0,1.3986
