Year,Chamber,Sample_ID,CO2,Nitrogen,Treatment,Depth,Root_Mass,Coarse_Root_Mass,C3_Rhiz_Mass,C4_Rhiz_Mass,Root_Litter_Mass
2006,1,A,1,1,4,0-30,0.0748,0.074226804,-99,-99,-99
2006,1,B,1,1,4,0-30,0.4974,0.12371134,-99,-99,-99
2006,1,C,1,1,4,0-30,0.1536,0.251546392,-99,-99,-99
2006,2,A,0,0,1,0-30,0.1558,0.004742268,-99,-99,-99
2006,2,B,0,0,1,0-30,0.2114,0.265979381,-99,-99,-99
2006,2,C,0,0,1,0-30,0.0789,0.2,-99,-99,-99
2006,3,A,1,0,3,0-30,0.4217,0.039175258,-99,-99,-99
2006,3,B,1,0,3,0-30,0.2549,0.072164948,-99,-99,-99
2006,3,C,1,0,3,0-30,0.1553,0.048453608,-99,-99,-99
2006,4,A,0,1,2,0-30,0.0074,0.030927835,-99,-99,-99
2006,4,B,0,1,2,0-30,0.0394,0.130927835,-99,-99,-99
2006,4,C,0,1,2,0-30,0.0111,0.142268041,-99,-99,-99
2006,5,A,1,1,4,0-30,0.2029,0.107216495,-99,-99,-99
2006,5,B,1,1,4,0-30,0.062,0.182474227,-99,-99,-99
2006,5,C,1,1,4,0-30,0.1123,0.222680412,-99,-99,-99
2006,6,A,0,0,1,0-30,0.2106,0.059793814,-99,-99,-99
2006,6,B,0,0,1,0-30,0.075,0.362886598,-99,-99,-99
2006,6,C,0,0,1,0-30,0.2954,0.131958763,-99,-99,-99
2006,7,A,0,0,1,0-30,0.0434,0.891752577,-99,-99,-99
2006,7,B,0,0,1,0-30,0.2178,0.248453608,-99,-99,-99
2006,7,C,0,0,1,0-30,0.0044,0.592783505,-99,-99,-99
2006,8,A,1,0,3,0-30,0.0931,0.198969072,-99,-99,-99
2006,8,B,1,0,3,0-30,0.0333,0.229896907,-99,-99,-99
2006,8,C,1,0,3,0-30,0.0472,0.035051546,-99,-99,-99
2006,9,A,1,0,3,0-30,0.0379,0.06185567,-99,-99,-99
2006,9,B,1,0,3,0-30,0.2526,0.087628866,-99,-99,-99
2006,9,C,1,0,3,0-30,0.2474,0.174226804,-99,-99,-99
2006,10,A,0,1,2,0-30,0.0383,0.018556701,-99,-99,-99
2006,10,B,0,1,2,0-30,0.0739,0.379381443,-99,-99,-99
2006,10,C,0,1,2,0-30,0.0252,0.064948454,-99,-99,-99
2006,11,A,0,1,2,0-30,0.1766,0.15257732,-99,-99,-99
2006,11,B,0,1,2,0-30,0.1688,0.55257732,-99,-99,-99
2006,11,C,0,1,2,0-30,0.0448,0,-99,-99,-99
2006,12,A,1,1,4,0-30,0.1419,0.149484536,-99,-99,-99
2006,12,B,1,1,4,0-30,0.5373,0.318556701,-99,-99,-99
2006,12,C,1,1,4,0-30,0.0918,0.073195876,-99,-99,-99
2006,13,A,1,0,3,0-30,0.1679,0.039175258,-99,-99,-99
2006,13,B,1,0,3,0-30,0.1208,0.334020619,-99,-99,-99
2006,13,C,1,0,3,0-30,0.1213,0.656701031,-99,-99,-99
2006,14,A,0,1,2,0-30,0.1834,0.134020619,-99,-99,-99
2006,14,B,0,1,2,0-30,0.142,0.170103093,-99,-99,-99
2006,14,C,0,1,2,0-30,0.0177,0.08556701,-99,-99,-99
2006,15,A,1,1,4,0-30,0.2238,0.158762887,-99,-99,-99
2006,15,B,1,1,4,0-30,0.2826,0.009278351,-99,-99,-99
2006,15,C,1,1,4,0-30,0.4893,0.129896907,-99,-99,-99
2006,16,A,0,0,1,0-30,0.0938,0.311340206,-99,-99,-99
2006,16,B,0,0,1,0-30,0.1039,0.003092784,-99,-99,-99
2006,16,C,0,0,1,0-30,0.0554,0.043298969,-99,-99,-99
2006,17,A,0,0,1,0-30,0.4632,0.23814433,-99,-99,-99
2006,17,B,0,0,1,0-30,0.0474,0.020618557,-99,-99,-99
2006,17,C,0,0,1,0-30,0.0158,0.040206186,-99,-99,-99
2006,18,A,1,1,4,0-30,0.1169,0.101030928,-99,-99,-99
2006,18,B,1,1,4,0-30,0.2626,0.080412371,-99,-99,-99
2006,18,C,1,1,4,0-30,0.1274,0.016494845,-99,-99,-99
2006,19,A,1,0,3,0-30,0.8275,0.463917526,-99,-99,-99
2006,19,B,1,0,3,0-30,0.4812,0.043298969,-99,-99,-99
2006,19,C,1,0,3,0-30,0.09,0.01443299,-99,-99,-99
2006,20,A,0,1,2,0-30,0.3469,0.135051546,-99,-99,-99
2006,20,B,0,1,2,0-30,0.1091,0.089690722,-99,-99,-99
2006,20,C,0,1,2,0-30,0.0476,0.054639175,-99,-99,-99
2007,1,A,1,1,4,0-30,0.1037,-99,0,0,-99
2007,1,B,1,1,4,0-30,0.3375,-99,0,0,-99
2007,1,C,1,1,4,0-30,0.1124,-99,0,0.0075,-99
2007,2,A,0,0,1,0-30,0.2808,-99,0.1337,0,-99
2007,2,B,0,0,1,0-30,0.3629,-99,0,0,-99
2007,2,C,0,0,1,0-30,0.1112,-99,0,0,-99
2007,3,A,1,0,3,0-30,0.1811,-99,0,0,-99
2007,3,B,1,0,3,0-30,0.2196,-99,0,0,-99
2007,3,C,1,0,3,0-30,0.2345,-99,0.2345,0,-99
2007,4,A,0,1,2,0-30,0.1208,-99,0,0.1038,-99
2007,4,B,0,1,2,0-30,0.1284,-99,0.9485,0.1404,-99
2007,4,C,0,1,2,0-30,0.0219,-99,0,0,-99
2007,5,A,1,1,4,0-30,0.0825,-99,0,0,-99
2007,5,B,1,1,4,0-30,0.3836,-99,0,0,-99
2007,5,C,1,1,4,0-30,0.1519,-99,0,0,-99
2007,6,A,0,0,1,0-30,0.4927,-99,0,0,-99
2007,6,B,0,0,1,0-30,0.2732,-99,0,0,-99
2007,6,C,0,0,1,0-30,0.3429,-99,0,0,-99
2007,7,A,0,0,1,0-30,0.3096,-99,0,0,-99
2007,7,B,0,0,1,0-30,0.1878,-99,0,0,-99
2007,7,C,0,0,1,0-30,0.0191,-99,0,0,-99
2007,8,A,1,0,3,0-30,0.257,-99,0.0173,0.1229,-99
2007,8,B,1,0,3,0-30,0.3956,-99,0.3,0,-99
2007,8,C,1,0,3,0-30,0.3656,-99,0.8095,0,-99
2007,9,A,1,0,3,0-30,0.1774,-99,0.1862,0,-99
2007,9,B,1,0,3,0-30,0.2903,-99,0,0.0321,-99
2007,9,C,1,0,3,0-30,0.409,-99,0.3808,0.1228,-99
2007,10,A,0,1,2,0-30,0.1683,-99,0,0.1222,-99
2007,10,B,0,1,2,0-30,0.0297,-99,0,0,-99
2007,10,C,0,1,2,0-30,0.151,-99,0,0.0162,-99
2007,11,A,0,1,2,0-30,0.2475,-99,0.1097,0.3193,-99
2007,11,B,0,1,2,0-30,0.0972,-99,0,0,-99
2007,11,C,0,1,2,0-30,0.0581,-99,0,0.1482,-99
2007,12,A,1,1,4,0-30,0.2037,-99,0,0.0884,-99
2007,12,B,1,1,4,0-30,0.2513,-99,0,0,-99
2007,12,C,1,1,4,0-30,0.0209,-99,0,0,-99
2007,13,A,1,0,3,0-30,0.2347,-99,0,0,-99
2007,13,B,1,0,3,0-30,0.2712,-99,0,0,-99
2007,13,C,1,0,3,0-30,0.2642,-99,0.1155,0.0103,-99
2007,14,A,0,1,2,0-30,0.1989,-99,0,0.0194,-99
2007,14,B,0,1,2,0-30,0.0699,-99,0,0,-99
2007,14,C,0,1,2,0-30,0.067,-99,0,0,-99
2007,15,A,1,1,4,0-30,0.2991,-99,0,0,-99
2007,15,B,1,1,4,0-30,0.3534,-99,0,0.189,-99
2007,15,C,1,1,4,0-30,0.3289,-99,0.2332,0,-99
2007,16,A,0,0,1,0-30,-99,-99,0,0,-99
2007,16,B,0,0,1,0-30,-99,-99,0,0,-99
2007,16,C,0,0,1,0-30,-99,-99,0,0,-99
2007,17,A,0,0,1,0-30,0.245,-99,0,0,-99
2007,17,B,0,0,1,0-30,0.0872,-99,0,0.0075,-99
2007,17,C,0,0,1,0-30,0.2228,-99,0.3176,0,-99
2007,18,A,1,1,4,0-30,0.137,-99,0.4139,0,-99
2007,18,B,1,1,4,0-30,0.3057,-99,0,0.1256,-99
2007,18,C,1,1,4,0-30,0.0449,-99,0,0,-99
2007,19,A,1,0,3,0-30,0.336,-99,0,0,-99
2007,19,B,1,0,3,0-30,0.376,-99,0,0,-99
2007,19,C,1,0,3,0-30,0.3826,-99,0.2355,0,-99
2007,20,A,0,1,2,0-30,0.3194,-99,0,0.2295,-99
2007,20,B,0,1,2,0-30,0.1572,-99,0,0.0796,-99
2007,20,C,0,1,2,0-30,0.0997,-99,0,0.126,-99
2008,1,A,1,1,4,0-30,-99,-99,-99,-99,-99
2008,1,B,1,1,4,0-30,0.1123,-99,0,0,-99
2008,1,C,1,1,4,0-30,0.2085,-99,1.4869,0.0107,-99
2008,2,A,0,0,1,0-30,0.0555,-99,0,0,-99
2008,2,B,0,0,1,0-30,0.0489,-99,0,0,-99
2008,2,C,0,0,1,0-30,0.2296,-99,0,0,-99
2008,3,A,1,0,3,0-30,0.1443,-99,0.582,0,-99
2008,3,B,1,0,3,0-30,0.3355,-99,0.1205,0.0638,-99
2008,3,C,1,0,3,0-30,0.2224,-99,0.3782,0,-99
2008,4,A,0,1,2,0-30,0.0894,-99,0,0.4601,-99
2008,4,B,0,1,2,0-30,0.0528,-99,0,0.1571,-99
2008,4,C,0,1,2,0-30,0.0484,-99,0,0,-99
2008,5,A,1,1,4,0-30,0.0608,-99,0.0176,0,-99
2008,5,B,1,1,4,0-30,0.1577,-99,0,0,-99
2008,5,C,1,1,4,0-30,0.0908,-99,0.0294,0,-99
2008,6,A,0,0,1,0-30,0.1541,-99,0,0.0188,-99
2008,6,B,0,0,1,0-30,0.0831,-99,0,0,-99
2008,6,C,0,0,1,0-30,0.2558,-99,0.1609,0,-99
2008,7,A,0,0,1,0-30,0.2631,-99,0.9354,0,-99
2008,7,B,0,0,1,0-30,0.4722,-99,1.7921,0,-99
2008,7,C,0,0,1,0-30,0.167,-99,1.1554,0,-99
2008,8,A,1,0,3,0-30,0.1878,-99,0,0,-99
2008,8,B,1,0,3,0-30,0.1226,-99,0,0,-99
2008,8,C,1,0,3,0-30,0.1728,-99,0,0,-99
2008,9,A,1,0,3,0-30,0.1208,-99,0.0178,0,-99
2008,9,B,1,0,3,0-30,0.3633,-99,0.8051,0,-99
2008,9,C,1,0,3,0-30,0.1991,-99,0,0,-99
2008,10,A,0,1,2,0-30,0.225,-99,0.7248,0.0385,-99
2008,10,B,0,1,2,0-30,0.1198,-99,0,0,-99
2008,10,C,0,1,2,0-30,0.0599,-99,0,0.0048,-99
2008,11,A,0,1,2,0-30,0.2495,-99,0.1775,0.1453,-99
2008,11,B,0,1,2,0-30,0.3023,-99,0,0.0751,-99
2008,11,C,0,1,2,0-30,0.1038,-99,0,0,-99
2008,12,A,1,1,4,0-30,0.0568,-99,0,0.061,-99
2008,12,B,1,1,4,0-30,0.182,-99,0,0.0606,-99
2008,12,C,1,1,4,0-30,0.0656,-99,0,0.0812,-99
2008,13,A,1,0,3,0-30,0.2819,-99,0,0,-99
2008,13,B,1,0,3,0-30,0.1676,-99,0,0,-99
2008,13,C,1,0,3,0-30,0.4024,-99,0.5987,0,-99
2008,14,A,0,1,2,0-30,0.1207,-99,0.152,0.032,-99
2008,14,B,0,1,2,0-30,0.0335,-99,0,0.0198,-99
2008,14,C,0,1,2,0-30,0.175,-99,0.204,0.3452,-99
2008,15,A,1,1,4,0-30,0.0224,-99,0,0,-99
2008,15,B,1,1,4,0-30,0.0759,-99,0,0.0156,-99
2008,15,C,1,1,4,0-30,0.0569,-99,0,0,-99
