Year,Chamber,Quadrat,In_Out,CO2,Nitrogen,Treatment,Stem_Count,Quadrat_Area
2006,1,1,1,1,1,4,36,0.09
2006,1,2,1,1,1,4,50,0.09
2006,1,3,1,1,1,4,68,0.09
2006,1,4,1,1,1,4,70,0.09
2006,1,5,1,1,1,4,48,0.09
2006,1,6,1,1,1,4,52,0.09
2006,1,7,0,1,1,4,48,0.09
2006,1,8,0,1,1,4,30,0.09
2006,2,1,1,0,0,1,36,0.09
2006,2,2,1,0,0,1,35,0.09
2006,2,3,1,0,0,1,46,0.09
2006,2,4,1,0,0,1,31,0.09
2006,2,5,1,0,0,1,35,0.09
2006,2,6,1,0,0,1,26,0.09
2006,2,7,0,0,0,1,31,0.09
2006,2,8,0,0,0,1,40,0.09
2006,3,1,1,1,0,3,55,0.09
2006,3,2,1,1,0,3,19,0.09
2006,3,3,1,1,0,3,46,0.09
2006,3,4,1,1,0,3,35,0.09
2006,3,5,1,1,0,3,50,0.09
2006,3,6,1,1,0,3,63,0.09
2006,3,7,0,1,0,3,43,0.09
2006,3,8,0,1,0,3,33,0.09
2006,4,1,1,0,1,2,37,0.09
2006,4,2,1,0,1,2,55,0.09
2006,4,3,1,0,1,2,36,0.09
2006,4,4,1,0,1,2,40,0.09
2006,4,5,1,0,1,2,54,0.09
2006,4,6,1,0,1,2,34,0.09
2006,4,7,0,0,1,2,49,0.09
2006,4,8,0,0,1,2,32,0.09
2006,5,1,1,1,1,4,60,0.09
2006,5,2,1,1,1,4,59,0.09
2006,5,3,1,1,1,4,44,0.09
2006,5,4,1,1,1,4,38,0.09
2006,5,5,1,1,1,4,55,0.09
2006,5,6,1,1,1,4,64,0.09
2006,5,7,0,1,1,4,30,0.09
2006,5,8,0,1,1,4,45,0.09
2006,6,1,1,0,0,1,42,0.09
2006,6,2,1,0,0,1,52,0.09
2006,6,3,1,0,0,1,57,0.09
2006,6,4,1,0,0,1,35,0.09
2006,6,5,1,0,0,1,29,0.09
2006,6,6,1,0,0,1,44,0.09
2006,6,7,0,0,0,1,53,0.09
2006,6,8,0,0,0,1,33,0.09
2006,7,1,1,0,0,1,23,0.09
2006,7,2,1,0,0,1,16,0.09
2006,7,3,1,0,0,1,35,0.09
2006,7,4,1,0,0,1,29,0.09
2006,7,5,1,0,0,1,38,0.09
2006,7,6,1,0,0,1,39,0.09
2006,7,7,0,0,0,1,50,0.09
2006,7,8,0,0,0,1,40,0.09
2006,8,1,1,1,0,3,44,0.09
2006,8,2,1,1,0,3,33,0.09
2006,8,3,1,1,0,3,29,0.09
2006,8,4,1,1,0,3,25,0.09
2006,8,5,1,1,0,3,30,0.09
2006,8,6,1,1,0,3,47,0.09
2006,8,7,0,1,0,3,38,0.09
2006,8,8,0,1,0,3,24,0.09
2006,9,1,1,1,0,3,51,0.09
2006,9,2,1,1,0,3,45,0.09
2006,9,3,1,1,0,3,52,0.09
2006,9,4,1,1,0,3,42,0.09
2006,9,5,1,1,0,3,33,0.09
