Year,Chamber,Quadrat,In_Out,CO2,Nitrogen,Treatment,Total_Height,Green_Height,Width
2006,1,1,1,1,1,4,83,83,4.7
2006,1,1,1,1,1,4,98,73,3.3
2006,1,1,1,1,1,4,113,95,4
2006,1,1,1,1,1,4,99,97,4.8
2006,1,1,1,1,1,4,81,80,3.7
2006,1,1,1,1,1,4,90,88,4.1
2006,1,1,1,1,1,4,109,97,3.2
2006,1,1,1,1,1,4,115,107,4.6
2006,1,1,1,1,1,4,124,83,3.9
2006,1,1,1,1,1,4,49,49,5.1
2006,1,1,1,1,1,4,79,79,4.5
2006,1,1,1,1,1,4,120,106,4
2006,1,1,1,1,1,4,87,87,5.9
2006,1,1,1,1,1,4,134,126,4.3
2006,1,1,1,1,1,4,110,109,5.2
2006,1,1,1,1,1,4,73,73,3.3
2006,1,1,1,1,1,4,114,105,3.9
2006,1,1,1,1,1,4,114,105,3.8
2006,1,1,1,1,1,4,133,123,4.5
2006,1,1,1,1,1,4,110,104,3.5
2006,1,1,1,1,1,4,106,95,3.3
2006,1,1,1,1,1,4,78,78,4.2
2006,1,1,1,1,1,4,98,97,5.4
2006,1,1,1,1,1,4,73,73,3.9
2006,1,1,1,1,1,4,109,94,3.6
2006,1,1,1,1,1,4,116,110,3.8
2006,1,1,1,1,1,4,88,63,3.2
2006,1,1,1,1,1,4,103,87,3.9
2006,1,1,1,1,1,4,88,88,4.6
2006,1,1,1,1,1,4,84,82,3
2006,1,1,1,1,1,4,106,94,3.5
2006,1,1,1,1,1,4,93,81,3.6
2006,1,1,1,1,1,4,88,86,3.2
2006,1,1,1,1,1,4,78,77,4.1
2006,1,1,1,1,1,4,111,97,3.6
2006,1,1,1,1,1,4,82,52,3.9
2006,1,2,1,1,1,4,55,54,4.5
2006,1,2,1,1,1,4,51,51,4
2006,1,2,1,1,1,4,43,43,3.6
2006,1,2,1,1,1,4,107,102,3.9
2006,1,2,1,1,1,4,84,72,4.3
2006,1,2,1,1,1,4,108,106,5.1
2006,1,2,1,1,1,4,100,100,5
2006,1,2,1,1,1,4,113,103,4.5
2006,1,2,1,1,1,4,120,119,6
2006,1,2,1,1,1,4,102,90,3.4
2006,1,2,1,1,1,4,123,118,3.5
2006,1,2,1,1,1,4,72,72,5.4
2006,1,2,1,1,1,4,98,80,3.1
2006,1,2,1,1,1,4,36,36,3.1
2006,1,2,1,1,1,4,30,30,5.3
2006,1,2,1,1,1,4,43,43,4.4
2006,1,2,1,1,1,4,102,90,2.7
2006,1,2,1,1,1,4,107,97,3.6
2006,1,2,1,1,1,4,95,95,3.9
2006,1,2,1,1,1,4,70,50,2.4
2006,1,2,1,1,1,4,98,80,3.4
2006,1,2,1,1,1,4,107,90,3.4
2006,1,2,1,1,1,4,101,82,2.5
2006,1,2,1,1,1,4,110,108,4.9
2006,1,2,1,1,1,4,83,83,3.4
2006,1,2,1,1,1,4,51,51,5.7
2006,1,2,1,1,1,4,43,43,3.6
2006,1,2,1,1,1,4,28,28,3.7
2006,1,2,1,1,1,4,29,29,5.3
2006,1,2,1,1,1,4,103,101,3.4
2006,1,2,1,1,1,4,105,102,3.6
2006,1,2,1,1,1,4,93,91,3.6
2006,1,2,1,1,1,4,91,90,3.3
2006,1,2,1,1,1,4,68,51,2.1
2006,1,2,1,1,1,4,103,100,5.3
2006,1,2,1,1,1,4,75,74,3.5
2006,1,2,1,1,1,4,104,95,3.5
2006,1,2,1,1,1,4,94,80,2.9
2006,1,2,1,1,1,4,100,86,3.9
2006,1,2,1,1,1,4,43,43,4.5
2006,1,2,1,1,1,4,58,58,3.3
2006,1,2,1,1,1,4,99,98,4.5
2006,1,2,1,1,1,4,71,71,4.6
2006,1,2,1,1,1,4,109,104,3.3
2006,1,2,1,1,1,4,73,73,3.5
2006,1,2,1,1,1,4,114,95,3.4
2006,1,2,1,1,1,4,91,90,4.8
2006,1,2,1,1,1,4,79,79,4.2
2006,1,2,1,1,1,4,93,87,2.4
2006,1,2,1,1,1,4,45,45,3.6
2006,1,3,1,1,1,4,101,98,3.5
2006,1,3,1,1,1,4,92,91,4.7
2006,1,3,1,1,1,4,118,99,4
2006,1,3,1,1,1,4,117,114,3.6
2006,1,3,1,1,1,4,115,111,3.1
2006,1,3,1,1,1,4,116,105,4.3
2006,1,3,1,1,1,4,85,83,3
2006,1,3,1,1,1,4,86,70,2.7
2006,1,3,1,1,1,4,88,88,3.2
2006,1,3,1,1,1,4,80,80,3.7
2006,1,3,1,1,1,4,105,99,3.9
2006,1,3,1,1,1,4,88,65,3.5
2006,1,3,1,1,1,4,89,69,4.1
2006,1,3,1,1,1,4,96,94,4.1
2006,1,3,1,1,1,4,125,120,4.2
2006,1,3,1,1,1,4,115,73,3.9
