Year,Chamber,CO2,Nitrogen,Block,Treatment,Location,Species,FC,C,F13C,13C,FN,N,F15N,15N
2006,1,1,1,1,4,B,SC,0,42.76268502,0,-32.36611422,0,1.170939087,0,460.658385
2006,1,1,1,1,4,B,SC,0,42.50769535,0,-31.77752139,0,1.147451888,0,461.6372386
2006,2,0,0,2,1,B,SC,0,43.1263256,0,-25.39291337,0,1.250651553,0,822.1707006
2006,3,1,0,3,3,B,SC,0,42.64660026,0,-31.92154439,0,1.198391783,0,253.2210827
2006,4,0,1,4,2,B,SC,0,39.77752403,0,-24.99775958,0,1.175868801,0,655.3430451
2006,5,1,1,4,4,B,SC,0,42.9761182,0,-31.78553919,0,1.501178824,0,236.2047507
2006,6,0,0,3,1,B,SC,0,43.11588276,0,-25.69813491,0,1.339781662,0,354.8902337
2006,7,0,0,1,1,B,SC,0,42.17080726,0,-25.59635721,0,1.350225077,0,391.3904227
2006,8,1,0,1,3,B,SC,0,42.3145476,0,-30.5497732,0,1.201884363,0,278.1113971
2006,8,1,0,1,3,B,SC,0,42.81002393,0,-32.0272673,0,1.305101035,0,298.5200968
2006,9,1,0,4,3,B,SC,0,42.62137226,0,-31.61488341,0,1.216610666,0,280.743969
2006,10,0,1,3,2,B,SC,0,42.26087534,0,-25.76204791,0,1.473645912,0,298.944865
2006,11,0,1,2,2,B,SC,0,42.31062575,0,-26.17270511,0,1.612167552,0,449.1716883
2006,12,1,1,2,4,B,SC,0,43.24707391,0,-34.82798041,0,1.4132946,0,354.7027624
2006,13,1,0,2,3,B,SC,0,42.73358681,0,-32.1340153,0,1.023425468,0,864.7330328
2006,14,0,1,1,2,B,SC,0,42.49641568,0,-26.48559468,0,1.623798062,0,392.4558034
2006,15,1,1,3,4,B,SC,0,41.76246792,0,-32.17225951,0,1.173371232,0,282.0165961
2006,16,0,0,5,1,B,SC,0,42.75207141,0,-25.51366557,0,1.416200028,0,155.8575402
2006,17,0,0,4,1,B,SC,0,42.69297432,0,-25.25405727,0,1.484033684,0,308.4783822
2006,18,1,1,5,4,B,SC,0,42.67235675,0,-31.73798676,0,1.270875467,0,401.0277104
2006,19,1,0,5,3,B,SC,0,43.47577921,0,-30.6765417,0,1.006491402,0,367.276909
2006,19,1,0,5,3,B,SC,0,41.98439439,0,-29.91935141,0,1.066628155,0,343.8825478
2006,20,0,1,5,2,B,SC,0,42.93314705,0,-28.19091457,0,1.439118517,0,297.6905534
2006,1,1,1,1,4,B,SP,0,44.75760876,0,-23.51411372,0,1.684543925,0,358.7552088
2006,2,0,0,2,1,B,SP,0,43.20420353,0,-15.15832613,0,0.815756273,0,1012.262317
2006,4,0,1,4,2,B,SP,0,43.2589882,0,-15.91779224,0,1.850617698,0,448.5956887
2006,5,1,1,4,4,B,SP,0,44.21069789,0,-22.68514484,0,1.19780848,0,348.5897121
2006,8,1,0,1,3,B,SP,0,45.41824757,0,-18.61874017,0,0.832553425,0,393.4342349
2006,12,1,1,2,4,B,SP,0,46.11855187,0,-15.82327194,0,0.856051322,0,498.2050616
2006,13,1,0,2,3,B,SP,0,44.26833109,0,-22.41448587,0,0.64719264,0,1779.05019
2006,16,0,0,5,1,B,SP,0,44.83112335,0,-15.98092383,0,0.616194121,0,519.3432941
2006,16,0,0,5,1,B,SP,0,44.1220855,0,-15.97556746,0,0.635884722,0,508.0213002
2006,20,0,1,5,2,B,SP,0,44.28671022,0,-13.45438463,0,1.608364197,0,351.9966867
2007,1,1,1,1,4,B,SC,0,40.88388626,0,-38.112775,0,1.33058673,0,90.0982
2007,1,1,1,1,4,B,SC,0,40.807186,0,-37.942859,0,1.345136712,0,84.55
2007,2,0,0,2,1,B,SC,0,40.38086938,0,-26.342111,0,1.511405354,0,180.616
2007,3,1,0,3,3,B,SC,0,40.70373895,0,-39.221424,0,1.12432293,0,167.396
2007,3,1,0,3,3,C,SC,0,40.16,0,-25.73,0,1.08,0,0.87
