Year,Chamber,CO2,Nitrogen,Treatment,SCbiomass_m2,SCdensity_m2,SPbiomass_m2,SPdensity_m2,DIbiomass_m2,DIdensity_m2,Litterbiomass_m2
2006,1,1,1,4,504.2628275,600,50.06666667,-99,0,-99,1083.566667
2006,2,0,0,1,288.095639,387.037037,43.90666667,-99,0,-99,1068.32
2006,3,1,0,3,373.5711065,496.2962963,70.03333333,-99,0,-99,1146.813333
2006,4,0,1,2,355.5209001,474.0740741,154.1333333,-99,27.38,-99,778.7866667
2006,5,1,1,4,558.5912613,592.5925926,16.45333333,-99,0,-99,1133.38
2006,6,0,0,1,367.4409133,479.6296296,0,-99,0,-99,1077.82
2006,7,0,0,1,237.8006685,333.3333333,52.32666667,-99,0,-99,736.34
2006,8,1,0,3,290.3013024,385.1851852,9.293333333,-99,0,-99,548.56
2006,9,1,0,3,349.0708755,494.4444444,0,-99,16.28666667,-99,717.9733333
2006,10,0,1,2,346.4392232,472.2222222,24.5,-99,0,-99,971.8266667
2006,11,0,1,2,408.9370788,505.5555556,56.59333333,-99,0,-99,934.6133333
2006,12,1,1,4,409.1163566,485.1851852,24.96666667,-99,14.54,-99,998.4066667
2006,13,1,0,3,273.9104584,420.3703704,78.76,-99,0,-99,1240.706667
2006,14,0,1,2,365.2668954,503.7037037,16.60666667,-99,18.58666667,-99,708.88
2006,15,1,1,4,378.6067657,524.0740741,18.30666667,-99,7.166666667,-99,712.8666667
2006,16,0,0,1,333.6466492,479.6296296,30.92,-99,0,-99,784.4533333
2006,17,0,0,1,375.4480182,520.3703704,33.84,-99,20.22,-99,1091.926667
2006,18,1,1,4,438.8244714,631.4814815,0,-99,180.0866667,-99,1246.14
2006,19,1,0,3,329.0456234,411.1111111,0,-99,2.72,-99,958.12
2006,20,0,1,2,248.6532722,300,830.0933333,-99,0,-99,1177.173333
2007,1,1,1,4,578.4850628,524.0740741,171.3866667,-99,198.8466667,-99,1194
2007,2,0,0,1,351.9846977,392.5925926,37.7,-99,0,-99,743.3333333
2007,3,1,0,3,597.8391264,551.8518519,54.12,-99,0,-99,1164
2007,4,0,1,2,460.6669046,468.5185185,188.94,-99,94.45333333,-99,1166
2007,5,1,1,4,818.2416683,633.3333333,52.13333333,-99,0.84,-99,1286.98
2007,6,0,0,1,623.0853244,583.3333333,0,-99,0,-99,476.6666667
2007,7,0,0,1,421.2126764,457.4074074,17.69333333,-99,0,-99,817.3333333
2007,8,1,0,3,446.1163909,470.3703704,0,-99,2.18,-99,802
2007,9,1,0,3,497.9442074,511.1111111,0,-99,0,-99,782
2007,10,0,1,2,565.3380344,511.1111111,191.6733333,-99,86.22,-99,882.44
2007,11,0,1,2,472.3179817,440.7407407,59.38666667,-99,267.6866667,-99,735.58
2007,12,1,1,4,747.0143853,633.3333333,20.28666667,-99,250,-99,1028.786667
2007,13,1,0,3,439.7099458,488.8888889,121.8933333,-99,0,-99,1000.873333
2007,14,0,1,2,477.2853422,442.5925926,0,-99,0,-99,1058.766667
2007,15,1,1,4,814.7026083,716.6666667,0,-99,0,-99,966
2007,16,0,0,1,533.6606695,546.2962963,0,-99,0,-99,798.6666667
2007,17,0,0,1,583.7488497,607.4074074,0.953333333,-99,54.13333333,-99,628
2007,18,1,1,4,842.6406426,698.1481481,0,-99,194.6533333,-99,1289.98
2007,19,1,0,3,678.0521222,616.6666667,0,-99,0,-99,1205.333333
2007,20,0,1,2,325.5919384,277.7777778,1241.313333,-99,0,-99,1261.806667
2008,1,1,1,4,610.6325176,496.2962963,110.6666667,-99,231.3333333,-99,1284
2008,2,0,0,1,390.048567,385.1851852,100,-99,0,-99,828.6666667
2008,3,1,0,3,485.1614804,464.8148148,0,-99,0,-99,1121.333333
2008,4,0,1,2,526.6698228,466.6666667,54.66666667,-99,248,-99,1254.666667
2008,5,1,1,4,600.1437381,464.8148148,230,-99,0,-99,873.3333333
2008,6,0,0,1,596.3145199,559.2592593,0,-99,0,-99,976
2008,7,0,0,1,421.3938556,457.4074074,4,-99,0,-99,358.6666667
2008,8,1,0,3,508.8350438,533.3333333,2,-99,12.66666667,-99,936
2008,9,1,0,3,481.0130722,507.4074074,14,-99,0,-99,743.3333333
2008,10,0,1,2,442.006837,412.962963,385.3333333,-99,52,-99,846
2008,11,0,1,2,351.4812228,331.4814815,262,-99,566.6666667,-99,1718.666667
2008,12,1,1,4,574.5004204,538.8888889,54.66666667,-99,122.6666667,-99,953.3333333
2008,13,1,0,3,365.6216889,455.5555556,53.33333333,-99,0,-99,490
2008,14,0,1,2,445.429811,462.962963,168,-99,280,-99,968
2008,15,1,1,4,569.6263285,561.1111111,63.33333333,-99,15.33333333,-99,1176
2008,16,0,0,1,556.8469015,542.5925926,8.666666667,-99,40.66666667,-99,734.6666667
2008,17,0,0,1,507.1683,512.962963,0.333333333,-99,193.3333333,-99,1012
2008,18,1,1,4,730.5417328,546.2962963,6,-99,183.3333333,-99,1662
2008,19,1,0,3,695.2023568,596.2962963,0,-99,0,-99,872.6666667
2008,20,0,1,2,450.3103394,418.5185185,17.33333333,-99,461.3333333,-99,1332.666667
